distance,no_vehc,day,time,age,purpose,outcome
1,1,1,1,48,1,20.1
5,19,3,1,29,2,19.7
9,15,6,3,59,2,32.1
3,5,6,2,59,2,26
4,16,3,1,38,1,21.7
6,15,6,3,25,2,17
7,12,5,1,18,2,13.8
6,28,6,2,59,2,34.4
4,5,6,1,33,2,16
5,6,6,2,19,2,11.3
1,29,3,3,36,2,23.7
7,16,6,3,43,2,25
4,9,5,3,27,2,15.2
7,21,2,3,28,2,21.3
9,12,4,3,56,2,30.4
1,23,1,2,29,1,19.2
5,8,3,1,39,2,20.4
6,5,4,3,46,1,22.6
9,1,6,3,57,2,27.1
2,5,5,2,25,2,12.1
3,23,5,2,52,2,28.8
3,10,4,2,56,2,26.7
5,4,4,1,44,1,20.8
9,27,4,2,35,1,26.2
5,8,5,1,26,2,14.8
4,19,4,3,40,2,23.6
6,16,2,2,30,1,19.8
8,7,5,1,44,1,23
9,1,5,3,32,1,17.1
8,19,4,1,58,2,32.6
5,18,3,3,31,1,20.2
7,28,5,1,55,2,33.4
9,4,2,1,50,2,25.8
5,23,2,3,26,1,19.9
4,23,2,1,49,1,28.4
7,9,2,1,54,2,27.9
5,21,5,1,44,1,25.7
6,28,2,1,47,1,30.1
5,19,1,3,35,2,22.7
8,3,4,1,57,1,27.2
4,25,4,1,39,1,24.6
6,16,5,1,19,1,14.7
4,1,6,1,25,1,11.4
1,15,2,2,23,2,14.4
5,26,6,2,18,2,16.9
7,21,6,1,54,2,30.7
4,17,2,3,29,2,19
6,26,3,3,45,1,28.7
2,27,6,2,52,1,29.1
9,25,2,2,36,2,26.6
6,4,4,3,57,1,26.7
8,18,2,3,18,1,16.7
9,15,1,2,45,2,27.4
1,9,5,2,34,2,16.4
3,25,1,3,18,2,16.7
5,1,2,2,59,1,26.4
1,11,1,1,42,1,20.7
4,9,4,3,40,1,20.4
7,29,1,3,23,1,21.7
1,14,4,1,33,1,17.4
4,15,3,3,57,2,29.4
8,2,6,1,23,2,13.1
5,8,1,1,53,2,26.4
3,23,5,1,30,2,19.9
9,5,1,3,43,1,23.5
4,12,1,2,50,2,26
6,10,3,1,48,1,24.9
1,13,3,1,37,1,18.9
4,16,3,3,23,1,15.9
3,29,6,1,23,2,18.7
2,9,3,2,45,2,21.7
3,25,4,3,32,2,21.7
2,5,2,3,40,2,18.8
5,19,1,3,29,1,20.1
2,23,6,1,51,1,27.4
8,24,2,1,19,1,18.7
7,2,4,2,21,2,12.3
4,3,4,2,48,2,21.9
3,9,1,3,41,1,20.9
7,17,2,1,25,1,18.5
2,22,4,3,31,1,19.7
3,22,1,1,59,2,32
8,25,3,3,45,2,29.6
5,22,3,3,53,2,30.4
8,5,2,3,31,2,18.2
8,13,4,1,28,2,18.8
8,23,1,1,18,2,18.4
8,26,3,2,32,1,24.4
6,14,1,3,45,2,25.7
4,23,2,1,30,2,21
4,19,6,3,24,1,16.6
6,20,6,3,22,2,17.3
2,5,5,3,31,1,14.4
6,22,2,2,51,2,30.2
3,2,3,1,21,1,10.2
3,23,3,2,31,2,20.8
5,22,2,1,22,1,17.8
3,19,2,1,59,1,30.7
7,26,6,1,22,2,19.4
9,27,4,1,36,1,26.5
2,11,1,1,52,2,25.4
3,4,6,1,35,2,16
7,9,2,1,28,1,17.3
6,20,5,1,30,1,20.3
4,28,1,1,50,2,30.7
3,19,2,1,46,2,25.7
9,29,4,1,43,1,29.9
6,17,6,3,56,1,29.8
5,29,4,1,23,1,19.9
7,18,1,2,37,1,23.9
6,5,4,3,56,2,26.8
6,24,3,3,42,1,26.9
9,24,5,2,24,2,20.9
8,25,3,3,52,2,32.4
7,27,3,3,22,2,20.5
1,10,3,2,59,2,27.1
9,25,5,3,56,2,34.1
6,1,5,2,50,2,22.9
6,18,5,1,24,2,17.5
7,18,5,2,43,1,25.5
4,28,1,3,57,2,33.7
3,15,4,2,37,1,20.4
1,29,4,3,34,2,22.7
4,11,2,2,21,1,13.7
5,8,4,1,25,2,14.6
7,3,6,2,24,2,13.4
5,21,1,2,32,2,22
4,8,4,2,22,2,13
8,22,2,1,25,2,20.7
2,18,6,1,28,1,16.7
8,3,2,3,24,1,14.6
4,27,5,2,49,1,29.1
5,29,5,1,54,1,32.1
4,22,1,1,28,1,19.9
8,16,1,1,51,1,29.3
2,7,6,1,49,1,21.8
5,28,6,2,44,2,27.9
5,25,6,2,19,2,17
1,8,4,3,59,1,26.2
9,10,3,1,49,2,27
6,15,1,3,59,1,31.4
9,7,2,3,33,1,19.9
9,2,4,3,52,2,25.8
7,10,6,3,55,2,28
3,19,1,1,28,2,18.7
8,16,5,3,57,2,31.3
2,7,3,2,47,1,21.7
8,4,5,1,25,1,14.5
2,27,1,3,23,1,18.6
1,14,6,3,41,1,20.4
9,21,4,2,48,2,29.8
7,19,4,2,50,2,29
7,2,4,3,35,1,17.8
9,19,6,2,24,2,19.2
5,29,2,1,58,2,34.5
2,5,1,2,41,2,19.3
9,20,1,1,32,2,23.6
6,24,1,3,40,2,26.7
5,11,4,3,41,2,22.1
4,8,1,1,27,2,15.5
9,24,5,2,34,1,24.7
1,23,5,1,36,2,21.3
9,4,5,3,42,1,22
8,20,6,1,46,1,27.5
6,15,3,1,31,2,19.8
4,25,2,1,21,2,18
3,2,2,2,41,1,18.5
4,21,3,1,56,2,30.6
8,12,3,3,35,2,21.7
9,7,3,2,44,2,24.2
5,27,5,2,20,2,18.2
7,13,3,1,26,1,17.5
7,6,6,2,31,2,17.1
8,27,1,3,34,1,26
5,1,6,1,38,2,17.3
1,14,3,3,54,2,26.4
1,7,2,2,31,2,15.2
1,10,3,2,41,2,19.9
1,23,3,1,37,2,22.1
2,29,2,1,30,2,21.8
4,10,4,2,38,2,20
1,26,5,2,39,1,23.3
1,1,2,3,34,2,14.7
5,6,5,2,50,1,23.7
9,25,4,2,49,2,31.4
3,20,3,1,43,2,24.6
9,6,5,3,48,2,25.2
3,17,1,3,29,1,18.5
7,15,3,2,49,2,27.6
2,19,1,2,38,1,22.1
7,3,3,3,34,2,18.1
7,27,4,3,24,2,21.1
2,20,6,3,27,1,17.1
1,13,3,2,33,1,17.4
9,22,4,2,28,1,21.9
2,23,3,2,47,1,26.5
6,16,5,3,54,1,28.9
3,16,5,1,42,2,22.6
6,23,1,3,47,2,29.2
1,13,5,3,59,1,27.5
4,5,6,3,41,2,19.4
6,28,6,2,47,1,29.4
5,21,2,1,18,1,15.9
4,29,3,2,24,2,20.3
4,15,5,2,26,2,16.5
4,3,5,1,57,1,25
8,23,6,3,58,2,33.6
8,18,1,2,57,1,32.4
8,23,5,1,55,1,32.2
5,10,1,3,47,2,24.8
6,21,4,3,31,2,21.6
3,6,2,3,53,2,24.8
6,17,2,2,27,2,19.1
1,7,1,1,46,1,21.1
7,4,3,2,50,2,24.7
1,3,4,3,41,1,17.5
1,1,6,2,52,2,21
4,25,4,3,21,1,17.6
5,2,4,2,47,2,21.7
5,17,6,1,43,2,24.1
9,1,3,2,42,1,21.4
3,23,4,3,31,2,20.7
4,3,1,1,55,1,25
1,4,5,1,48,1,20.2
5,3,6,3,31,1,15.1
3,26,1,1,53,2,30.8
1,13,5,3,40,1,19.9
5,24,6,1,25,2,19
7,5,6,3,43,2,21.7
5,23,4,2,27,1,19.8
4,9,2,3,24,1,14.4
2,25,3,1,28,2,19.6
5,20,6,1,51,2,28.2
7,27,2,2,25,2,21.8
5,6,1,2,26,2,15.1
2,12,3,2,27,2,15.4
6,5,5,1,21,1,12.2
2,6,2,2,39,1,18.4
3,2,1,1,47,2,21.2
4,3,3,3,59,1,26.4
9,12,4,1,27,1,18.4
7,17,1,3,26,2,19.5
1,16,6,2,41,2,21.1
6,15,1,3,33,2,21.2
9,28,3,3,55,2,35
9,7,4,2,21,2,14.8
8,6,2,1,47,1,24.5
2,8,5,3,32,1,15.7
7,19,1,2,50,2,29.6
7,6,4,2,49,1,24.5
7,10,6,1,33,2,19
9,14,2,3,29,1,20.4
3,25,1,3,51,1,29.7
6,19,3,2,46,2,27.1
1,9,5,3,32,2,15.7
2,6,1,1,54,2,24.7
3,29,6,2,51,1,29.8
4,19,5,3,49,2,27
7,28,5,3,46,1,29.8
3,21,2,1,52,2,28.7
9,8,1,3,45,1,25.2
6,29,6,1,18,1,18
5,24,3,2,59,2,33.3
8,29,4,2,33,2,25.7
9,18,1,3,54,1,31.8
6,15,4,1,36,2,21.6
4,1,4,3,34,2,15.8
8,17,4,2,36,2,23.3
2,1,6,3,19,1,8.2
4,2,3,1,57,2,25.3
7,7,1,2,23,1,15
3,15,1,1,19,2,13.9
8,3,4,2,19,2,12.3
7,4,4,2,26,1,14.7
9,6,2,2,24,2,16.1
6,8,4,1,48,2,24.3
7,25,4,3,42,2,27.7
9,17,2,2,44,2,27.4
5,18,5,3,55,2,29.6
1,6,1,1,59,1,26
8,16,6,3,50,2,28.3
7,24,3,1,29,2,22.2
8,25,6,3,51,2,31.4
4,6,3,2,30,2,15.8
2,26,2,1,36,1,23.1
9,7,6,1,21,2,14.3
4,1,6,3,45,2,19.8
9,12,6,1,29,2,19
1,13,3,3,19,2,12.1
1,22,4,3,24,1,16.4
8,27,4,3,47,1,30.6
7,18,2,3,55,2,31.2
8,2,3,1,25,2,14.5
6,25,2,1,26,2,21
2,4,4,1,54,1,23.3
3,4,6,2,42,2,18.9
8,24,6,1,58,2,33.7
9,15,1,2,21,1,17.6
3,13,3,2,32,2,18.2
8,2,2,2,35,2,18.8
6,3,4,1,30,1,15.4
6,24,5,1,28,1,20.7
4,25,1,1,37,2,24.6
3,26,4,1,42,2,25.8
9,27,4,1,21,2,20.7
1,3,6,1,40,2,16.7
6,22,5,3,44,1,26.7
3,24,3,1,52,1,29.2
7,24,4,1,31,1,22.6
8,20,1,3,18,1,17.5
7,22,4,1,53,2,31
5,5,4,1,38,2,18.9
1,9,4,2,41,1,19.2
9,13,6,1,41,1,23.9
8,2,3,1,56,2,26.9
9,17,3,3,25,2,19.7
8,28,3,1,33,1,25.3
6,19,2,2,22,2,17.7
5,28,6,3,27,2,21.2
1,10,5,1,59,1,26.4
9,21,1,1,57,1,33.7
7,23,1,3,45,1,28.7
2,9,4,2,20,1,11.3
1,13,4,3,58,1,27.3
6,14,3,1,27,1,17.7
7,28,1,1,41,2,28.6
5,15,1,3,58,2,30.7
8,2,6,3,54,2,25.7
3,14,4,3,56,1,27.8
4,16,1,1,33,2,20.3
5,26,5,3,52,1,30.6
9,23,6,1,49,2,30.3
8,20,4,3,47,1,28.5
9,11,6,3,59,2,30.9
2,13,6,3,58,1,27.4
7,12,5,2,26,2,17.1
1,17,5,1,50,2,25.1
9,9,3,1,50,2,27.1
6,11,3,2,30,1,18.1
4,4,1,1,26,2,13.9
1,27,2,1,26,2,19.1
6,5,2,2,49,2,24.3
2,2,2,3,25,1,11.7
4,24,6,1,28,1,19.5
9,20,3,1,48,1,29.4
5,14,2,1,59,2,30.4
8,22,6,3,54,2,31.7
5,28,1,3,48,1,30.4
9,15,4,3,21,1,17.1
4,5,6,2,58,2,26.1
5,5,4,1,52,2,24.5
6,8,3,1,34,1,18.7
6,4,4,2,40,1,19.8
7,6,6,3,20,1,12.6
5,13,6,3,23,1,14.9
4,20,1,2,24,1,17.8
3,4,2,2,29,1,14.3
3,18,3,3,40,2,23
3,14,1,2,29,1,17.5
1,4,2,1,53,2,23
4,6,1,1,48,1,23.1
9,29,2,2,27,1,24
4,20,5,2,32,2,20.4
1,22,2,2,31,2,19.7
4,3,3,2,20,1,10.7
7,2,6,3,25,1,13.4
5,13,3,2,34,1,19.8
2,4,6,2,54,1,23
1,12,4,3,50,1,23.8
9,15,2,1,49,2,28.7
8,24,6,2,54,1,32
7,7,3,2,53,1,26.6
3,13,6,3,34,2,18.5
4,18,6,3,35,2,20.9
7,5,2,3,54,2,26.9
6,8,1,1,47,2,24.5
8,11,4,3,30,1,19
4,24,2,3,39,1,24.9
9,7,4,1,34,1,19.7
7,2,5,1,22,2,12.4
2,22,2,1,31,2,20.1
2,25,4,3,34,2,22
7,13,4,2,44,2,24.8
6,22,1,2,33,2,23.2
6,28,5,3,49,1,30.5
9,15,5,3,22,2,17.5
2,9,5,2,55,1,25.1
9,14,5,1,59,2,31.8
5,7,4,1,38,2,19.5
4,12,3,1,35,1,19.3
7,2,5,1,19,2,11.2
2,3,2,2,24,1,11.5
5,8,2,1,23,1,14
9,25,4,3,57,2,34.7
6,28,4,1,26,2,21.5
5,13,6,3,59,2,29.5
6,27,4,2,43,2,28.1
5,15,4,3,43,1,23.9
2,13,4,1,32,2,17.4
1,7,4,3,22,1,11.1
5,18,2,1,25,2,18
2,24,4,2,39,1,23.4
3,1,5,2,25,1,11.2
6,7,4,3,29,1,16.4
1,16,1,2,28,1,16.7
4,6,4,3,56,1,25.9
8,23,3,2,48,1,29.9
9,18,4,3,33,1,22.8
2,4,5,3,43,2,19.1
6,5,6,3,23,1,13
8,11,3,3,25,2,17.4
6,26,3,3,26,1,21.1
1,8,4,2,33,2,15.9
2,20,3,1,49,1,26.3
1,17,4,3,59,2,29.1
3,9,2,1,52,1,24.9
3,9,1,1,19,2,12.1
6,24,2,1,37,1,24.9
2,20,2,2,29,1,18.6
7,3,4,1,48,1,23.1
3,6,5,3,40,1,18.8
5,3,1,1,18,2,10.9
9,21,6,3,36,1,24.5
6,18,4,3,30,1,20.1
8,7,5,1,19,2,13.2
6,19,2,1,59,2,32.4
2,10,1,3,55,2,26.5
1,12,1,3,53,2,25.8
8,21,1,1,35,2,24.6
1,18,5,3,38,1,20.6
3,2,4,1,24,1,11.2
3,7,4,2,48,1,22.4
4,17,2,2,50,1,27.1
6,4,2,1,27,2,15.1
6,26,3,1,19,2,18.3
3,12,5,1,18,2,11.8
7,3,2,1,29,1,15.9
2,20,1,3,35,2,21.5
3,14,6,3,53,2,26.4
9,3,4,2,53,2,26.4
3,14,3,2,59,1,29.1
7,7,1,1,44,2,23.5
2,19,4,2,37,1,21.1
8,25,3,2,48,2,30.7
6,26,6,3,48,1,29.3
7,17,3,3,57,2,31.5
2,28,3,2,27,2,20.2
4,6,6,1,52,2,23.9
5,21,2,1,32,1,21.5
3,17,3,3,42,2,23.5
6,29,2,2,54,2,33.5
1,14,2,2,59,1,28.3
8,3,2,2,52,1,25.7
9,1,1,1,40,2,21.1
7,1,4,2,54,2,25.2
3,22,2,2,36,1,22.5
8,19,4,2,45,1,27.3
9,20,3,1,24,2,20
1,21,3,2,47,2,25.6
4,14,1,3,20,1,14.5
6,13,2,1,25,2,17
3,11,2,1,33,2,18.1
8,13,5,2,20,2,15.5
3,5,5,3,33,1,15.7
1,22,1,3,19,1,15
4,15,5,2,21,2,14.5
8,24,1,1,24,2,21.1
3,15,6,3,46,1,23.7
6,29,3,3,22,2,20.6
3,16,5,3,45,1,23.8
2,14,6,3,32,1,17.3
1,23,6,3,32,1,19.5
8,27,4,2,23,1,20.9
8,16,1,2,42,2,26
2,14,4,3,34,2,18.7
2,21,2,3,20,2,15.6
3,2,5,2,57,2,24.5
4,23,5,3,41,2,25
1,18,6,2,37,2,20.1
2,15,5,2,36,1,19.3
1,3,2,3,18,2,8.9
6,9,3,2,36,1,19.9
9,10,4,3,56,1,29.6
2,16,3,2,35,2,19.8
3,27,5,3,55,1,31.1
9,4,2,1,34,1,19.2
4,1,1,2,53,1,23.7
6,14,4,3,58,1,30.1
3,28,5,2,52,2,30.3
2,14,4,1,53,1,25.9
9,29,6,2,53,1,33.6
2,15,3,2,44,1,22.9
4,20,3,3,18,2,15.3
1,6,4,1,28,2,13.2
1,13,3,1,36,2,18.7
6,10,6,1,25,2,15.3
8,5,6,3,38,2,20.2
1,29,2,2,37,2,24.2
8,16,3,2,32,2,21.6
6,24,4,2,22,2,18.8
5,22,1,2,31,1,21.7
9,16,4,2,55,1,30.9
6,6,6,3,47,1,22.9
1,14,1,2,50,1,24.9
1,27,4,2,33,1,21.4
6,6,4,2,44,2,22.2
6,6,3,2,37,1,19.4
6,25,4,3,25,2,20.4
4,29,1,2,58,1,34.1
9,23,2,1,56,1,33.7
2,27,3,1,31,1,21.2
6,12,2,1,26,2,17.1
8,18,1,3,23,1,18.9
6,29,5,3,44,1,28.8
6,7,4,3,18,1,12
4,22,4,2,24,2,18
9,11,2,3,39,2,23.7
1,27,5,1,46,2,26.5
3,5,1,3,49,2,23.1
6,11,2,3,44,1,24
9,19,1,3,22,2,19.5
5,5,4,2,43,2,21
4,11,3,2,26,2,15.7
2,10,5,2,54,2,25.2
1,5,6,1,59,1,24.7
7,12,1,1,58,2,30.6
1,25,5,2,21,1,15.8
8,11,5,2,43,2,24.1
5,20,1,3,59,1,32.4
1,17,1,3,26,2,16.5
4,28,1,2,24,1,20.2
6,8,2,3,21,1,13.9
5,14,1,1,24,1,16.4
5,16,3,2,49,2,26.9
7,26,3,1,38,1,26.2
3,15,6,1,45,1,23.1
5,29,3,2,47,1,29.8
5,4,2,3,40,2,20
5,22,2,2,38,2,24.5
4,26,1,3,35,2,24.3
1,2,5,1,53,1,21.6
6,6,3,3,32,2,17.7
1,6,5,2,48,1,20.9
4,25,4,1,50,1,29
2,12,4,1,57,2,27.1
4,9,5,1,53,1,25.2
2,28,2,2,18,1,16.6
8,22,6,3,28,2,21.3
3,18,6,3,31,1,18.6
8,22,6,2,24,2,19.6
1,11,1,2,49,1,23.6
1,26,4,3,43,1,25.2
5,14,1,1,18,1,14
3,9,1,2,22,1,13.2
3,3,5,3,30,1,13.9
7,26,4,1,26,1,21.2
5,27,6,1,31,2,22.3
2,1,3,1,48,1,20.2
4,24,2,3,32,1,22.1
4,10,3,3,37,2,19.9
8,14,4,1,55,2,29.9
1,2,6,3,31,2,13
6,1,6,3,42,2,19.6
6,3,4,3,57,2,26.6
6,18,1,1,45,1,26.5
5,28,6,3,53,1,31.4
2,15,5,2,18,1,12.1
3,1,6,2,39,1,16.6
1,3,1,2,40,2,17.8
9,3,6,1,33,1,17.7
5,26,2,2,18,2,17.7
1,2,2,3,18,2,8.6
7,23,3,3,53,2,31.7
1,22,1,2,50,1,27.3
3,19,5,2,36,2,21.2
5,15,5,3,59,1,30.1
4,11,2,3,19,2,13.2
7,1,2,1,47,1,22.5
5,15,5,1,46,1,24.7
3,29,4,1,54,2,31.5
6,5,4,1,40,2,20.2
5,24,2,2,39,2,25.5
6,8,5,2,18,1,12
9,8,6,3,52,2,27.2
2,2,4,2,37,2,16.2
4,24,4,2,43,2,26.2
1,27,5,1,23,1,17.1
1,6,2,2,41,1,18.7
5,3,3,1,23,1,12.3
3,5,5,2,50,2,22.6
9,29,4,3,27,2,23.9
8,4,4,2,51,1,25.2
6,26,3,2,28,1,21.8
9,24,1,3,20,2,20.2
4,14,6,2,18,2,12.8
8,27,6,3,30,2,23.6
2,16,4,3,37,2,20.5
3,16,4,2,42,2,22.9
5,14,5,1,30,2,18.2
1,2,1,2,29,2,13.1
2,28,4,2,49,2,28.8
2,29,3,1,56,1,31.8
2,17,5,3,23,2,15
1,19,5,1,28,1,16.7
1,17,1,3,46,1,24.3
8,23,3,3,30,2,23
4,23,3,3,20,1,16.8
5,22,3,2,44,2,26.7
5,15,6,1,21,1,14.5
8,14,4,2,37,2,22.8
6,15,2,2,30,2,19.7
3,11,3,1,34,2,18.3
8,2,1,2,43,2,22.2
2,10,6,1,39,2,18.9
6,26,2,3,31,2,23.5
2,23,5,3,37,2,22.4
4,27,6,1,35,1,23.2
2,24,2,1,50,1,28.1
7,6,1,1,34,2,19.2
4,23,5,2,52,2,29.3
5,9,1,2,52,2,26.4
3,27,4,2,24,1,18.8
5,10,3,1,25,2,15.4
9,20,2,3,18,2,18
2,6,3,2,22,2,11.6
7,11,2,1,23,1,15.9
6,9,6,2,30,2,17.1
7,29,5,2,33,2,25
9,23,4,1,50,1,30.9
7,20,2,3,47,2,28.6
9,19,6,1,21,1,17.7
1,28,3,3,21,1,17.2
8,4,3,2,22,1,13.8
7,20,1,1,35,1,23.6
5,28,5,3,25,1,20.4
9,11,2,1,41,1,24.1
8,7,1,3,55,1,28.4
9,23,3,2,28,2,22.6
9,9,5,2,50,1,26.6
7,15,2,3,45,1,26.1
9,6,6,1,28,2,16.8
3,28,1,1,31,1,22.4
9,1,6,1,40,1,19.9
1,9,5,1,23,2,11.9
8,24,2,1,23,1,20.3
2,9,6,1,52,2,23.8
7,13,1,3,20,2,15.9
3,13,3,3,21,2,13.9
4,19,6,2,27,1,17.7
3,6,6,3,27,1,13.4
8,12,2,1,56,1,29.9
9,26,2,2,47,1,31.1
8,4,1,3,44,2,23.3
5,5,6,2,42,1,20
1,18,1,1,33,2,19.4
1,8,1,1,45,2,21.2
9,1,6,2,31,2,16.6
5,6,4,1,40,2,20
2,8,6,2,46,1,21
2,9,3,1,27,1,14.2
1,11,2,3,43,2,21.3
8,28,2,2,19,1,20
7,24,4,2,25,1,20.3
6,4,6,2,35,1,17.4
9,14,6,3,27,1,18.8
9,10,6,2,54,2,28.5
3,1,3,1,34,1,15.1
5,14,5,3,22,1,15
1,3,5,2,21,1,9.2
9,26,2,1,42,2,29.2
6,15,2,1,22,1,16.2
3,4,6,3,45,2,20.2
2,23,1,1,22,1,16.8
8,19,2,3,49,2,29.6
7,14,4,3,51,1,27.8
4,5,6,1,40,1,18.6
4,8,5,2,22,1,12.6
3,24,1,2,36,2,23.5
1,25,5,1,44,2,25.1
3,3,2,2,19,1,10
3,24,4,1,50,1,28.2
8,8,6,1,31,2,18.1
8,24,6,3,18,1,17.7
5,14,4,2,32,2,19.3
7,1,5,2,52,2,24.2
5,20,3,3,43,2,25.8
3,19,1,3,28,2,18.9
5,7,2,1,34,2,18.3
6,18,4,1,33,2,21.3
3,21,5,1,24,1,16.7
6,22,6,3,44,1,26.5
5,25,4,3,51,1,30.1
9,27,1,2,25,2,23
3,14,5,1,43,1,22.2
3,21,5,1,31,2,19.7
2,18,5,3,43,1,23.1
9,13,6,2,43,2,25
8,9,4,3,57,2,29.4
6,29,6,3,52,2,32
2,5,3,1,38,1,17.4
8,26,6,1,56,2,33.5
8,4,4,1,46,2,23.3
4,9,2,1,42,1,21.4
9,29,6,3,27,2,23.5
5,4,5,2,19,1,10.7
7,7,1,2,23,1,15
5,16,5,2,25,1,16.7
9,25,2,3,59,1,35.7
9,14,3,3,23,2,18
4,3,1,3,51,2,23.8
8,23,3,1,51,2,31.2
3,1,3,3,57,1,24.5
5,23,1,2,57,2,32.6
4,3,5,2,47,1,21.1
2,10,2,1,54,2,25.7
8,24,4,2,51,2,31.4
3,15,3,2,38,1,21
8,28,5,3,32,2,24.9
4,9,5,1,27,1,14.8
4,24,3,1,22,1,17.7
5,24,5,1,47,1,27.8
7,20,2,3,46,2,28.2
8,5,4,3,49,2,25
1,4,2,2,41,1,18.1
2,12,5,2,47,1,22.8
7,14,4,2,41,1,23.7
7,29,3,2,56,2,34.6
3,7,2,3,20,1,11.7
9,15,1,1,59,2,32.9
9,10,4,1,57,1,29.8
1,22,1,1,47,2,26.2
2,19,6,1,20,2,14
8,15,3,3,19,1,16
4,6,6,3,20,1,11.1
3,7,2,1,24,2,13.3
3,28,6,1,40,1,25
6,8,3,1,49,2,24.9
6,24,5,3,38,2,25.1
9,5,4,3,52,1,26.5
2,7,6,3,59,1,26
6,19,2,1,55,1,30.6
1,26,6,1,32,2,20.4
7,12,6,3,50,2,26.6
5,6,1,1,26,2,15
3,8,3,3,32,1,16.6
6,19,6,3,20,1,16
8,2,5,2,51,1,24.4
8,28,3,3,28,1,23.5
2,14,6,1,39,1,19.9
3,18,4,2,39,1,22.1
7,24,3,3,24,2,20.4
9,9,5,2,57,1,29.4
3,7,2,2,31,1,16
4,25,3,2,33,2,22.7
3,17,1,1,19,1,14.3
6,17,2,3,23,1,17.4
9,27,2,3,45,1,30.7
4,14,1,3,35,2,20.7
5,3,2,2,59,2,27.2
4,25,3,2,56,1,31.7
1,13,1,3,55,2,26.9
2,13,2,2,20,2,13.1
1,9,6,1,22,1,11.1
8,28,2,2,45,2,30.6
8,5,6,3,19,2,12.6
2,18,4,2,38,1,21.2
1,22,2,1,33,1,20.2
3,1,3,3,56,1,24.1
1,20,2,1,31,1,18.8
7,10,4,2,27,1,16.9
1,6,6,3,47,2,20.6
9,11,6,2,56,2,29.6
8,13,3,1,43,1,24.8
1,14,3,3,33,1,17.8
1,26,5,3,36,2,22.4
